particle_size_nm,drug_diffusion,nanoparticle_diffusion,release_rate,uptake_rate,drug_loading,tumor_growth_rate,drug_efficacy,penetration_depth,average_drug_concentration,final_tumor_volume,tumor_reduction_percent
126.67235861,9.93974352768e-09,8.56489232026e-09,0.193204226686,0.0734941627342,0.994871130586,0.0398869365696,0.897461194631,0.8,0.00636292429842,249075.690801,75.0924309199
177.732911853,8.89897908174e-09,2.50093283661e-09,0.0131060127295,0.093155935119,0.970070045524,0.010486789177,0.794238969288,0.4,0.00290761372826,557139.679402,44.2860320598
184.658241574,4.61198406059e-09,8.63405071987e-09,0.185854057512,0.0105057963306,0.531701394534,0.0125551652156,0.481973806607,1.8,0.00657701234073,188077.006666,81.1922993334
169.773599536,1.32638493428e-10,4.60053323125e-10,0.195009744766,0.093319490083,0.753997559663,0.0355881147569,0.628449631817,0.2,0.00235926002135,772445.183679,22.7554816321
198.443125604,9.4593174267e-09,1.0744387736e-09,0.0946994136594,0.0269751223079,0.261982352653,0.043019685588,0.988751651228,0.6,0.00118353522817,306079.710319,69.3920289681
42.2579904125,6.38208018803e-09,9.90987610483e-09,0.0350837369768,0.0145722401949,0.311094097639,0.0243475675652,0.966052743518,1.6,0.00364417194471,230846.769381,76.9153230619
181.180571524,8.58182799279e-10,9.65433101427e-09,0.0400802553412,0.0895967752162,0.488656650945,0.0101138421335,0.848634127129,0.8,0.00298343180933,99623.2466699,90.037675333
21.4400555357,2.13231654888e-10,3.80398114068e-09,0.148248159727,0.0160364379705,0.981524138428,0.0298984678611,0.982529084447,1.2,0.00777493415619,65210.6716533,93.4789328347
35.772951184,9.58562985688e-09,9.85958956556e-10,0.190057404742,0.0616669483476,0.335236047405,0.0115215135104,0.789142229684,0.4,0.00123397449015,50000,95
145.086282463,9.67384740376e-09,9.57216637963e-09,0.165037230329,0.0124412041341,0.284931401315,0.0488699371493,0.90860646512,1.8,0.00353707119213,455849.664517,54.4150335483
47.8966883311,2.34803088583e-09,9.83514738518e-09,0.193497528835,0.0376442379158,0.960807305718,0.0134790546721,0.3652779106,1.2,0.00833693603357,424151.253152,57.5848746848
183.021439049,4.52009805541e-09,7.24335843187e-09,0.0161589820153,0.01113202751,0.993772468038,0.01611674173,0.985346628588,1.6,0.0090139058137,334066.478299,66.5933521701
135.407624065,7.19759195377e-10,7.94629906108e-09,0.194756805253,0.022305224611,0.33993823887,0.0414982197553,0.919210345569,1.4,0.00327280186592,231713.858599,76.8286141401
190.009951075,1.36835014956e-10,3.76786878612e-10,0.102284706699,0.0257384537475,0.872570119035,0.0103465034437,0.959201230728,0.2,0.00315606036317,50000,95
192.334497343,7.24383420911e-09,9.24775032065e-10,0.195956603259,0.045138538012,0.832542051665,0.0109735660189,0.9460104419,0.4,0.00322354739404,50000,95
32.1205524006,9.57236789816e-09,9.57384780668e-09,0.0393586598477,0.0753120855234,0.806837778823,0.0121593084581,0.781400936875,1,0.00522142665058,159706.564978,84.0293435022
153.856317262,9.66037866409e-09,9.50144708088e-09,0.10907932317,0.0987160092581,0.239216725061,0.0379053571022,0.950963795571,0.8,0.00142947422702,203250.800793,79.6749199207
58.957728946,1.38520692605e-09,2.89383092919e-10,0.19118270285,0.0969888564054,0.329701725056,0.0180744683339,0.309036323533,0.2,0.000993557693156,936917.278895,6.30827211049
187.401149355,8.83204587238e-09,2.23924618576e-10,0.170357599638,0.0918170553481,0.443167111672,0.0232030338402,0.514117565115,0.2,0.00132103451068,491140.910214,50.8859089786
